ID_Municipio,Municipio,Sección Electoral,Población Aprox.,Promotores Ambientales,Fiscalización 3ra Categoría,GIRSU y Residuos,Áreas Protegidas y Arbolado,Otras Acciones Ambientales,Fuentes Oficiales,,,,,,,,,
MUN-BA-023,9 de Julio,Cuarta,54000,Dirección de Gestión Ambiental municipal. Desarrolla campañas de promotores ambientales barriales,capacitaciones en escuelas del distrito y jornadas de educación ambiental articuladas con el INTA y escuelas agropecuarias.,Parque Industrial 9 de Julio con industrias metalmecánicas agrícolas,procesamiento de lácteos y fertilizantes. El control de industrias de 3ra categoría lo ejerce directamente la provincia (Ministerio de Ambiente PBA / ex OPDS). El municipio audita establecimientos de 1ra y 2da categoría y controla la zonificación industrial.,"Planta de Procesamiento y Clasificación de Residuos municipal, red de Puntos Verdes y campanas en la planta urbana. Recolección diferenciada de secos, campañas periódicas de Neumáticos Fuera de Uso (NFU) y RAEEs, y proyecto de reconversión del basural a cielo abierto hacia relleno sanitario controlado.","Parque General San Martín, lagunas del partido (La Niña, El Chajá). Plan director de arbolado público, fiscalización de podas y fomento de especies autóctonas en espacios públicos.",Ordenanza municipal reguladora de aplicación de fitosanitarios (zonas de exclusión y amortiguamiento),campañas de triple lavado y recepción de bidones fitosanitarios con CampoLimpio.,https://www.9dejulio.gob.ar/ ; https://sibom.slyt.gba.gob.ar/ ; https://www.ambiente.gba.gob.ar/,,,,,,
MUN-BA-024,Trenque Lauquen,Cuarta,50000,"Dirección de Ambiente y Desarrollo Sustentable con los programas 'Ecotrenque' y 'Trenque + Sustentable'. Pionero provincial en educación ambiental ciudadana y formación continua de promotores ambientales barriales, con más de tres décadas de trabajo en concientización puerta a puerta y talleres de compostaje domiciliario.",Sector Industrial Planificado (SIP) y polo agroindustrial. El control de 3ra categoría depende del Ministerio de Ambiente provincial (Ley 11.459),pero el municipio cuenta con un Consejo Asesor de Ambiente y Agroquímicos y un equipo técnico de monitoreo ambiental con alta capacidad local de control preventivo.,"Planta PROLIM (Procesamiento de Residuos Sólidos Urbanos) con más de 31 años de trayectoria ininterrumpida y certificada como Destino Sustentable provincial. Sistema de separación en origen consolidado (bolsas verdes/azules), Polo Ambiental Integral, compostaje industrial y reducción drástica de volumen destinado a disposición final.","Parque Municipal Conrado Villegas, complejo lagunar Las Tunas Grandes y Cuero de Zorro. Vivero forestal municipal y plan integral de arbolado urbano con censo georreferenciado.","Gestión modelo de envases de agroquímicos con CAT CampoLimpio operativo, proyectos de biodigestión/biogás con residuos orgánicos y ordenanza modelo de regulación de fitosanitarios con recetas agronómicas digitales.",https://www.trenquelauquen.gov.ar/ecotrenque/prolim/ ; https://www.trenquelauquen.gov.ar/trenquesustentable/ ; https://www.ambiente.gba.gob.ar/,,,,,,,,
MUN-BA-025,Bragado,Cuarta,47000,Dirección General de Medio Ambiente. Promueve promotores ambientales barriales,educación en escuelas del distrito y articulación con el Ministerio de Ambiente de la Provincia de Buenos Aires para la entrega de kits de huerta,composteras y flora nativa.,Parque Industrial Bragado con siderurgia pesada (Acerbrag),fábricas químicas y agroindustrias. Las industrias de 3ra categoría son fiscalizadas y monitoreadas directamente por el Ministerio de Ambiente PBA (ex OPDS); el municipio interviene en habilitaciones y control de categorías 1 y 2.,"Reactivación de la Planta Municipal de Reciclado (procesamiento y recupero de más de 30 toneladas mensuales de reciclables), marco regulatorio mediante Ordenanza GIRSU N° 5306 y declaración de emergencia ambiental para ejecutar el plan de saneamiento y cierre definitivo del basural a cielo abierto.","Parque Lacunario Laguna de Bragado (área de conservación natural, humedal y recreación), plan de arbolado público urbano y plantación de árboles nativos en plazas y avenidas.","Centro de Almacenamiento Transitorio (CAT) para envases de fitosanitarios, campañas itinerantes de RAEEs, recolección de aceite vegetal usado (AVU) y programa de reducción de plásticos de un solo uso.",https://www.bragado.gob.ar/ ; https://sibom.slyt.gba.gob.ar/bulletins/4493/contents/1511505 ; https://www.ambiente.gba.gob.ar/,,,,,,
MUN-BA-026,Pehuajó,Cuarta,46000,Secretaría de Medio Ambiente municipal. Cuenta con el cuerpo juvenil de promotores ambientales 'Ecopibes' (capacitación vecinal en barrios y localidades como Nueva Plata) y articulación permanente con la Cooperativa de Recicladores Urbanos 'Reci Pehua'.,"Parque Industrial Pehuajó, frigoríficos vacunos/porcinos y acopiadoras de granos. El control de 3ra categoría recae en el Ministerio de Ambiente PBA conforme la Ley 11.459; la Secretaría de Ambiente local supervisa la gestión de efluentes, categorizaciones 1 y 2 y habilitaciones ambientales.","Cierre histórico definitivo del basural a cielo abierto de 35 años e inauguración del Complejo Ambiental Municipal 'Papa Francisco' con planta de clasificación, compactación y celda sanitaria. Red de estaciones de reciclado en cabecera y pueblos, y recolección diferenciada domiciliaria.","Parque General San Martín, sistema de lagunas y aliviadores hídricos. Plan masivo de forestación urbana y producción de especies nativas en el vivero municipal.","Programa 'Pehuajó Sustentable', CAT de fitosanitarios con CampoLimpio, recolección de neumáticos fuera de uso para coprocesamiento y fiscalización de aplicaciones agronómicas.",https://www.pehuajo.gob.ar/ ; https://www.ambiente.gba.gob.ar/noticias/daniela_vilar ; https://www.infocielo.com/,,,,,,,,,
MUN-BA-027,Lincoln,Cuarta,46000,"Dirección de Medio Ambiente municipal. Impulsa campañas educativas escolares y cuenta con promotores de la Cooperativa de Trabajo 'Mundo Reciclado Lincoln' (integrada a la FACCyR), reconocida oficialmente como Destino Sustentable por el Ministerio de Ambiente PBA.",Parque Industrial Lincoln y fuerte entramado de agroindustrias lecheras y aceiteras. La fiscalización y control de industrias de 3ra categoría corresponde a la Provincia de Buenos Aires (Ministerio de Ambiente PBA); el municipio efectúa el control de categorías 1 y 2 y bromatología industrial.,"Planta de Separación y Recuperación de Residuos municipal, circuito de Puntos Limpios en Lincoln y delegaciones (El Triunfo, Roberts, Martínez de Hoz), recolección diferenciada y plan de mitigación y ordenamiento del basural municipal.","Parque Municipal General San Martín (predio protegido de más de 100 hectáreas con importante masa forestal y fauna), plan de arbolado urbano y arbolado de alineación pública.",Adhesión a la Red Argentina de Municipios contra el Cambio Climático (RAMCC),campañas de recepción de bidones de fitosanitarios y programas de eficiencia energética en edificios públicos.,https://www.lincoln.gob.ar/ ; https://www.ambiente.gba.gob.ar/contenido/destinos_sustentables_1 ; https://buenosaires.gob.ar/,,,,,,,,
MUN-BA-028,General Villegas,Cuarta,36000,"Dirección de Medio Ambiente con la red vecinal 'EcoComunidad'. Promueve promotores ambientales escolares y barriales, capacitaciones en compostaje y actividades de educación ecológica comunitaria en los pueblos del partido.",Parque Industrial General Villegas con presencia de molinos harineros,plantas lácteas y acopiadoras de cereales. La fiscalización de 3ra categoría corresponde a la Provincia de Buenos Aires (Ministerio de Ambiente); el municipio gestiona la radicación industrial y el control de categorías 1 y 2.,"Complejo Ambiental de General Villegas con Planta de Separación de Residuos Sólidos Urbanos, red de EcoPuntos en la ciudad y delegaciones (Banderaló, Bunge, Piedritas) y ejecución de obras para la erradicación del basural a cielo abierto y disposición en celdas técnicas.","Parque Municipal José de San Martín, sistema de lagunas del noroeste. Censo y plan de poda y reforestación de especies forestales nativas y adaptadas.","Punto de recepción permanente de RAEEs en Fasciolo 228, recolección de fitosanitarios en CAT habilitado y convenios de reciclaje de neumáticos y plásticos agrícolas.",https://villegas.gob.ar/medio-ambiente/ ; https://www.vymavillegas.com.ar/ ; https://diarioactualidad.com/,,,,,,,,
MUN-BA-029,General Viamonte,Cuarta,24000,"Dirección de Medio Ambiente. Promotores ambientales dedicados a la difusión del 'Programa Bolsa Verde' en Los Toldos y Baigorrita, talleres de educación ambiental en escuelas y cursos obligatorios de habilitación para podadores urbanos.",Sector Industrial Planificado de Los Toldos con plantas queseras,molinos y silos. La fiscalización de empresas de 3ra categoría depende exclusivamente del Ministerio de Ambiente PBA bajo la Ley 11.459; control municipal sobre categorías 1 y 2 y habilitaciones comerciales.,"Centro de Reciclaje y Complejo Ambiental de Los Toldos. Recolección diferenciada domiciliaria (Bolsa Verde los lunes por la noche), recolección programada de restos de poda por cuadrantes y programa de erradicación de microbasurales barriales.","Parque Balneario Municipal Los Toldos, Laguna La Azotea (Monumento Natural y área de reserva recreativa). Ordenanza de arbolado público y poda responsable.",Generación de energía solar fotovoltaica en edificios y dependencias municipales,recambio de luminarias LED y ordenanza de fitosanitarios con controles agronómicos.,https://www.generalviamonte.gob.ar/areas-noticias/medio-ambiente ; https://www.generalviamonte.gob.ar/programa-bolsa-verde ; https://www.diariodemocracia.com/,,,,,,,
MUN-BA-030,Carlos Casares,Cuarta,24000,Dirección de Medio Ambiente municipal. Desarrolla programas de promotores ambientales juveniles,voluntariado ecológico en colegios y capacitación comunitaria en el marco del convenio provincial de erradicación de basurales e inclusión de recicladores.,Parque Industrial Carlos Casares con fuerte radicación de semilleros,plantas de acopio y procesadoras agroindustriales. Fiscalización de 3ra categoría bajo competencia del Ministerio de Ambiente PBA (Ley 11.459); control local en habilitaciones y control de categorías 1 y 2.,Municipio adherido al programa provincial de eliminación de basurales a cielo abierto. Planta Municipal de Separación y Reciclado de Residuos,red de campanas de reciclaje y puntos limpios urbanos para secos.,"Creación del 'Parque Ambiental General San Martín' en articulación con el Ministerio de Ambiente de la Provincia de Buenos Aires (espacio de educación ambiental, flora nativa y biodiversidad). Plan de arbolado público.",Instalación de sensores de monitoreo de calidad del aire provistos por la Provincia,control de aplicaciones periurbanas de agroquímicos y CAT para envases de fitosanitarios.,https://casares.gob.ar/ ; https://casareshoy.com.ar/ ; https://www.maracodigital.net/ ; https://www.ambiente.gba.gob.ar/,,,,,
MUN-BA-031,Rivadavia,Cuarta,21000,Dirección de Ambiente y Desarrollo Sustentable. Campañas de promotores ambientales en América y delegaciones (González Moreno,Fortín Olavarría,Sansinena),talleres escolares y fomento del compostaje domiciliario.,Sector Industrial de América y agroindustrias de procesamiento cárnico y lácteo. Fiscalización de 3ra categoría centralizada en el Ministerio de Ambiente de la Provincia de Buenos Aires; fiscalización municipal sobre establecimientos de 1ra y 2da categoría.,"Planta de Tratamiento y Separación de RSU en América, esquema de recolección diferenciada por zonas y días de la semana, puntos limpios para materiales reciclables y control del basural municipal.",Vivero Municipal y Complejo Ecológico de América (predio zoológico y botánico de conservación de fauna silvestre y flora autóctona). Plan director de arbolado urbano.,Gestión y recepción de envases vacíos de agroquímicos en articulación con CampoLimpio,ordenanza sobre franjas de amortiguamiento de productos fitosanitarios.,https://munirivadavia.gob.ar/ ; https://www.rivadaviaonline.com.ar/ ; https://www.argentina.gob.ar/,,,,,
MUN-BA-032,General Arenales,Cuarta,18000,"Área de Medio Ambiente municipal con el programa 'Arenales Verde'. Promotores ambientales que realizan concientización en escuelas y centros comunitarios en las localidades de Arenales, Arribeños, Ferré y Ascensión.",Predios agroindustriales,semilleros y molinos. Fiscalización de 3ra categoría ejercida por el Ministerio de Ambiente PBA; fiscalización municipal en comercios,depósitos y establecimientos de 1ra categoría.,"Implementación del plan GIRSU distrital, red de centros de reciclado y puntos limpios en todas las localidades del distrito, transporte centralizado de reciclables y obras para la mitigación y erradicación de basurales a cielo abierto.",Laguna de Arenales y balneario municipal. Plan de protección de cortinas forestales y plantación de arbolado público.,"Jornadas itinerantes de recepción de envases de fitosanitarios con CampoLimpio, campañas de reciclado de residuos de aparatos eléctricos y electrónicos (RAEEs).",https://www.generalarenales.gob.ar/ ; https://www.diariodemocracia.com/ ; https://infonoroeste.com.ar/,,,,,,,
MUN-BA-033,Leandro N. Alem,Cuarta,18000,Dirección de Medio Ambiente y Servicios Públicos. Promotores ambientales escolares y comunitarios en Vedia,Juan B. Alberdi,Leandro N. Alem y El Dorado,con eje en la separación en origen y reciclaje.,Actividad agroindustrial (molinos harineros,acopios y frigoríficos). Control de industrias de 3ra categoría en manos del Ministerio de Ambiente de la Provincia de Buenos Aires (Ley 11.459); control ambiental local en categorías 1 y 2.,"Planta de Clasificación de RSU en la ciudad cabecera (Vedia), recolección diferenciada de residuos secos, puntos verdes en plazas y avance en el plan de remediación de basurales en las distintas localidades del partido.",Complejo Balneario Municipal de Vedia y polideportivos forestados del distrito. Plan municipal de reforestación y poda responsable.,Reactivación de la obra integral de ampliación de la Planta Depuradora de Líquidos Cloacales de Vedia (ABSA / PBA) para saneamiento de efluentes urbanos y preservación del recurso hídrico; campañas de gestión de fitosanitarios.,https://municipioalem.gob.ar/ ; https://www.gba.gob.ar/infraestructura/ ; https://cursosipfl.trabajo.gba.gob.ar/,,,,,
MUN-BA-034,Carlos Tejedor,Cuarta,15000,"Dirección de Medio Ambiente. Campañas comunitarias bajo el lema 'Cuidemos el Lugar Donde Vivimos', promotores ecológicos en Tejedor, Tres Algarrobos, Colonia Seré, Curarú y Timote, con talleres en radios locales y escuelas.",Predominio de actividad agropecuaria,feedlots intensivos y tambos. La fiscalización de 3ra categoría depende del Ministerio de Ambiente PBA; el municipio controla la radicación y manejo de efluentes en feedlots y categorías 1 y 2.,"Planta Municipal de Separación y Tratamiento de RSU, EcoPuntos distribuidos en el partido, recolección diferenciada y plan de contingencia y saneamiento del basural municipal a cielo abierto.","Parque Balneario Municipal, plan de forestación y entrega de ejemplares de árboles nativos a instituciones y frentistas.","Proyecto pionero de biodigestor para generación de biogás y biofertilizantes a partir de estiércol bovino, instalación de sensores de monitoreo de aire de la Provincia y estación agrometeorológica.",https://carlostejedor.gob.ar/ ; https://www.trenquelauquen.gov.ar/ ; https://www.maracodigital.net/,,,,,,,,
MUN-BA-035,Alberti,Cuarta,14000,"Dirección de Medio Ambiente con el programa 'ECOPLAN'. Cuerpo de promotores ambientales comunitarios y escolares capacitados en economía circular, separación de residuos y compostaje domiciliario.",Sector Industrial Planificado de Alberti con empresas agroindustriales y metalmecánicas. Fiscalización de 3ra categoría bajo competencia del Ministerio de Ambiente PBA; alta interacción municipal técnica en control y categorización 1 y 2.,"Distrito modelo provincial: erradicación y cierre definitivo del basural a cielo abierto, Planta de Clasificación GIRSU con más del 70% de recupero de reciclables, abastecida 100% con paneles de energía solar y producción de mobiliario urbano de madera plástica reciclada.","Primer Parque Ambiental de la Provincia de Buenos Aires inaugurado junto al Ministerio de Ambiente PBA en el predio del ex basural remediado (con flora nativa y circuito pedagógico), Laguna de Alberti y plan de arbolado nativo.","Parque Solar Municipal en predio recuperado, Centro de Almacenamiento Transitorio (CAT) para envases de fitosanitarios y rigurosa ordenanza de aplicación periurbana de agroquímicos.",https://alberti.gov.ar/ ; https://utopiaurbana.city/ ; https://www.semanarioextra.com.ar/ ; https://www.bragadotv.com.ar/,,,,,,,,,
MUN-BA-036,General Pinto,Cuarta,14000,Dirección de Medio Ambiente. Convenios con la Subsecretaría de Residuos Sólidos Urbanos y Economía Circular PBA para la formación de promotores ambientales comunitarios y fortalecimiento de cooperativas de recicladores.,Industrias lácteas,plantas de acopio y faena. Fiscalización de 3ra categoría a cargo de la Provincia de Buenos Aires (Ministerio de Ambiente); inspección municipal en habilitaciones,bromatología y categoría 1.,"Construcción y habilitación de la nueva Planta de Tratamiento de RSU financiada junto a la Provincia, recolección diferenciada en origen, puntos limpios y avance en el plan de cierre del basural a cielo abierto.","Parque Municipal Balneario General Pinto, lagunas del distrito y plan de mantenimiento y reposición del arbolado público.","Monitoreo sanitario y bromatológico rural intensivo, campañas de recepción de envases de fitosanitarios con CampoLimpio y recolección de pilas y RAEEs.",https://www.pinto.gob.ar/ ; https://www.diariodemocracia.com/ ; https://www.cuartopolitico.com/,,,,,,,
MUN-BA-037,Hipólito Yrigoyen,Cuarta,12000,"Dirección de Ambiente de Hipólito Yrigoyen (Henderson). Instancias de participación ciudadana y promotores ambientales comunitarios conforme a las Leyes 11.723, 25.675 y el Acuerdo de Escazú.",Acopiadoras de cereales,plantas de silos y agroindustrias. Fiscalización de 3ra categoría a cargo del Ministerio de Ambiente PBA (Ley 11.459); control municipal preventivo y de radicación de categorías 1 y 2.,"Planta Municipal de Tratamiento de RSU de Henderson, relevamiento técnico y plan de saneamiento del basural a cielo abierto junto a Provincia, estaciones de reciclado urbano y compostaje de orgánicos.","Plaza José Manuel Estrada, predio polideportivo forestado, plan de censo y arbolado público urbano.","Fiscalización de pulverizaciones agrícolas y aplicación de productos fitosanitarios, campañas de recolección de RAEEs y pilas en desuso.",https://www.hipolitoyrigoyen.gob.ar/ ; https://www.infohd.com.ar/ ; http://www.hendersonline.com.ar/,,,,,,,,
MUN-BA-038,Florentino Ameghino,Cuarta,12000,"Dirección de Ambiente municipal. Campañas de concientización y promotores escolares/vecinales bajo el lema 'Cada residuo separado en casa hace la diferencia', promoviendo la separación en secos y húmedos.",Sector agropecuario,acopiadoras y distribuidoras de agroquímicos. Fiscalización de 3ra categoría ejercida por el Ministerio de Ambiente de la Provincia de Buenos Aires; control municipal en habilitaciones comerciales y categoría 1.,"Planta de Separación y Reciclado Municipal, recolección domiciliaria diferenciada (secos los martes y jueves), despacho regular de más de 14.500 kg de reciclables compactados a la industria y plan de ordenamiento del basural.","Parque Municipal Ameghino, plan de forestación y mantenimiento del arbolado público urbano.","Instalación de sensores de monitoreo de la calidad del aire del Ministerio de Ambiente PBA, jornadas de recepción de bidones de fitosanitarios con CampoLimpio y campañas de RAEEs.",https://www.gba.gob.ar/ ; https://www.facebook.com/gobiernoameghino ; https://www.labrujulaweb.com.ar/ ; https://elojoenlinea.com.ar/,,,,,,,,
MUN-BA-001,Chascomús,Quinta,42000,Dispone de programas de Promotores Ambientales y educación ambiental comunitaria articulados con el Ministerio de Ambiente PBA y dependencias educativas locales. Se dictan talleres en escuelas primarias y secundarias,capacitaciones barriales y campañas de concientización para la separación en origen de residuos.,"La fiscalización, categorización y emisión del Certificado de Aptitud Ambiental (CAA) para industrias de 3ra categoría corresponde con exclusividad al Ministerio de Ambiente de la Provincia de Buenos Aires (Ley Provincial 11.459 y Dto. 531/19). El municipio cuenta con Parque Industrial y Sector Industrial Planificado (con empresas metalmecánicas, químicas, alimenticias y lácteas); la comuna ejerce control sobre la zonificación y uso del suelo, habilitación edilicia condicionada y monitoreo de efluentes junto a la Autoridad del Agua (ADA) y atención de denuncias vecinales.","Cuenta con el Plan Ambiental Chascomús 2020-2030. Desarrolla el proyecto del Ecoparque Ambiental Regional / Polo Productivo Ambiental orientado a la clausura técnica y remediación del histórico basural municipal a cielo abierto. Implementa circuitos de recolección diferenciada, puntos limpios y recuperación de residuos secos.",La Laguna de Chascomús y el sistema de lagunas encadenadas del Río Salado constituyen el principal ecosistema de humedal y reserva hídrica y de avifauna. Plan de arbolado urbano con producción de especies autóctonas en vivero municipal y preservación del frente ribereño.,Ordenanza municipal de aplicación de fitosanitarios con zonas de exclusión y franja de amortiguamiento periurbano; monitoreo limnológico y alerta de cianobacterias coordinado con el INTECH (CONICET-UNSAM); reconversión paulatina del alumbrado público a tecnología LED.,https://chascomus.gob.ar/ ; https://apps.chascomus.gob.ar/ppa/ ; https://participacionpublica.ambiente.gba.gob.ar/,,,,,,,,
MUN-BA-002,Rauch,Quinta,15000,Distrito de extensa trayectoria en cultura y educación ambiental. El equipo de la Dirección de Ambiente y promotores comunitarios realizan campañas de concientización continua que permiten sostener niveles de separación en origen domiciliaria superiores al 80%.,Competencia provincial indelegable a cargo del Ministerio de Ambiente PBA. Municipio netamente agropecuario; el Sector Industrial Planificado alberga emprendimientos de 1ra y 2da categoría bajo supervisión y habilitación municipal,sin radicación de industrias complejas de 3ra categoría.,"Referente provincial con la Unidad de Reciclado Rauch (URRA), operativa desde 1998, que procesa la totalidad de los residuos urbanos con clasificación de reciclables, compostaje de orgánicos y ausencia de basural a cielo abierto descontrolado. Dispone de Centro de Almacenamiento Transitorio (CAT) para envases de fitosanitarios.","Parque Municipal Juan Silva, cuenca de los arroyos Pantanoso y Chapaleofú. Plan integral de arbolado urbano y rural abastecido por vivero municipal.","Miembro activo de la Red Argentina de Municipios contra el Cambio Climático (RAMCC), proyectos de triple impacto socioambiental, ordenanza de aplicación de productos agroquímicos con obligatoriedad de receta agronómica.",http://www.rauch.mun.gba.gov.ar/web/ ; https://www.ramcc.net/,,,,,,,,
MUN-BA-039,Balcarce,Quinta,49000,Implementa el programa 'Separemos en Casa' apoyado por promotores ambientales barriales y una cooperativa de recicladores integrada por más de 20 operarios en la planta de separación y clasificación.,"Control y fiscalización de 3ra categoría dependiente del Ministerio de Ambiente PBA. Balcarce cuenta con Parque Industrial y relevantes plantas de agroindustria alimenticia (procesamiento de papa, McCain, harinas, balanceados y fertilizantes); la comuna audita radicaciones de 1ra y 2da categoría y fiscaliza vertidos junto con la ADA.",Relleno sanitario y Planta de Separación y Clasificación de Residuos operativa en Ruta 55 km 87 (recibe ~45 ton/día). Día fijo de recolección diferenciada domiciliaria (miércoles de bolsa verde) y red de puntos verdes.,"Sistema orográfico de Tandilia (Sierra La Barrosa, Sierra Chata, La Bachicha) y Laguna La Brava (reserva y paisaje protegido provincial/municipal). Plan de forestación urbana y protección de suelos serranos.",Ordenanza municipal de aplicación de fitosanitarios con distancias mínimas a escuelas rurales y zonas urbanizadas; vinculación técnica con la Estación Experimental Agropecuaria INTA Balcarce y la Facultad de Ciencias Agrarias (UNMdP).,https://balcarce.gob.ar/separemos-en-casa/ ; https://balcarce.gob.ar/,,,,,,,,,
MUN-BA-040,General Alvarado,Quinta,46000,Talleres de educación ambiental escolar,formación de promotores juveniles y campañas de concientización turística en la zona costera y balnearios de Miramar durante la temporada de verano.,Competencia a cargo del Ministerio de Ambiente PBA. Actividad productiva centrada en el turismo y la producción agrícola; el Parque Industrial y talleres locales corresponden a 1ra y 2da categoría,fiscalizados por el municipio en habilitación y salubridad.,Plan Integral GIRSU para el cierre y remediación técnica del basural a cielo abierto de Miramar y construcción de nuevo centro ambiental. Puntos limpios y recolección diferenciada en Miramar,Comandante Nicanor Otamendi y Mechongué.,"Vivero Dunícola Florentino Ameghino (reserva forestal y fijación de dunas), Reserva Natural Provincial Centinela del Mar (costa, humedales y yacimiento paleontológico), arroyo El Durazno y bosque energético.","Plan de manejo del frente costero, ordenanza de zonas de amortiguamiento para agroquímicos y preservación del patrimonio bio-paleontológico en acantilados marinos.",https://mga.gov.ar/ ; https://www.argentina.gob.ar/consulta-publica-proyecto-girsu-general-alvarado,,,,,,
MUN-BA-041,Pinamar,Quinta,41000,Área institucional de 'Pinamar Sostenible' con cuerpo de Promotores Ambientales y articulación con la Cooperativa Reciclando Conciencia (modelo de economía circular e inclusión laboral en la costa). Concientización comunitaria en paradores,colegios y vía pública.,Jurisdicción exclusiva provincial (Ministerio de Ambiente PBA). Distrito sin industrias pesadas o químicas de 3ra categoría; los controles locales se orientan a grandes generadores comerciales (gastronomía,hotelería),obras de construcción y cumplimiento del Código de Edificación y zonificación.,"Circuitos de recolección diferenciada, islas de reciclaje en playa y centros urbanos, y planta de valorización de residuos secos operada por la Cooperativa Reciclando Conciencia (producción de madera plástica y mobiliario urbano). La disposición final del remanente se realiza en el predio regional de General Madariaga (Ruta 11).","Eco-Área Médanos de Valeria del Mar (40.000 m² de dunas y lagunas interdunales protegidas por ordenanza municipal), régimen de Paisaje Protegido (Ley Provincial 12.099), Banco Forestal Municipal y vivero de nativas.","Plan de Manejo Integrado de Frente Marítimo (demolición de estructuras de hormigón en playa y construcción de paradores sustentables sobre pilotes), monitoreo continuo del acuífero costero con la UNLP y prohibición de plásticos de un solo uso.",https://pinamar.gob.ar/pinamarsostenible/ ; https://pinamar.gob.ar/recuperaytransformavaleria/ ; https://reciclandoconciencia.com.ar/,,,,,,
MUN-BA-042,Villa Gesell,Quinta,38000,Red Ambiental Querandí y promotores ambientales municipales que realizan tareas de educación y concientización vecinal en separación de reciclables,compostaje y cuidado de las dunas costeras.,Ministerio de Ambiente PBA. Distrito sin industrias pesadas de 3ra categoría; el control municipal se enfoca en establecimientos gastronómicos,hoteleros y balnearios bajo normativas de salubridad y gestión de residuos.,Planta Municipal de Separación de Residuos Sólidos Reciclables operativa. Puntos verdes barriales y campanas de reciclaje. Disposición final regional en el predio de General Madariaga (Ruta 11) bajo esquema de convenio intermunicipal.,"Reserva Natural Municipal Faro Querandí (5.753 hectáreas de cordón dunícola virgen, playa y pastizal costero), Pinar Fundacional y sistema forestal histórico de fijación de médanos.","Ordenanza de reconversión ecológica de balnearios costeros, playas libres de humo de tabaco, chipeo y reutilización de restos de poda masiva de coníferas para compost y biomasa.",http://www.gesell.gob.ar/ ; https://gesell.gob.ar/novedad/34514/,,,,,,,
MUN-BA-043,Mar Chiquita,Quinta,35000,Promotores ambientales locales y cuerpo de guardaparques de la Reserva de Biosfera; trabajo articulado con la cooperativa de recicladores 'R3 GIRSU Mar Chiquita' y talleres en escuelas de Santa Clara del Mar,Mar de Cobo y Coronel Vidal.,Control a cargo del Ministerio de Ambiente PBA. Matriz económica agrícola,ganadera y turística; control municipal circunscrito a categorizaciones de 1ra y 2da categoría (molinos,acopios y talleres) y fiscalización de efluentes hacia la cuenca de la albufera.,Recolección diferenciada y puntos limpios en localidades costeras y cabecera. Cooperativa R3 abocada al recupero de materiales reciclables y gestiones para la erradicación de basurales locales.,"Reserva Mundial de Biosfera Parque Atlántico Mar Chiquita (UNESCO 1996 - laguna costera de albufera única en el país con 26.000 ha de laguna, cordón de dunas fósiles, pastizal y mar). Ordenanza 72/2023 de visitas guiadas y canon de preservación.",Ordenanza de distancias mínimas para pulverizaciones con fitosanitarios en resguardo de poblados y escuelas; infraestructura sustentable con la primera escuela pública autosustentable del país.,https://www.marchiquita.gob.ar/ ; https://sibom.slyt.gba.gob.ar/bulletins/8963/contents/1918642,,,,,,
MUN-BA-044,Dolores,Quinta,33000,Equipo de promotores de la Subsecretaría de Medio Ambiente y del Centro Ambiental Dolores; desarrollo de programas de compostaje escolar y entrega de cestos diferenciados a instituciones locales.,Fiscalización de 3ra categoría correspondiente al Ministerio de Ambiente PBA. Posee Sector Industrial Planificado (SIP) con radicación de industrias frigoríficas,alimenticias y metalmecánica liviana (1ra y 2da categoría bajo supervisión municipal y control de vuelcos con ADA).,"Centro Ambiental Dolores activo (planta de clasificación, separación y enfardado de reciclables para venta industrial), Puntos Móviles de recepción y recolección diferenciada obligatoria en comercios y locales gastronómicos.",Parque Libres del Sur,Paseo de la Ribera del Canal 1 y cuenca del Río Salado; plan municipal de forestación urbana y arbolado de alineación.,"Agenda Estratégica 'Dolores hacia el futuro', programa de fabricación de composteras en articulación con el Servicio Penitenciario Bonaerense (Unidad 6), control de canales y mitigación de anegamientos.",https://dolores.gob.ar/ ; https://dolores.gob.ar/centro-ambiental/,,,,,,,
MUN-BA-045,Las Flores,Quinta,28000,Capacitación y despliegue de promotores ambientales comunitarios en coordinación con el Ministerio de Ambiente PBA; programas de educación ecológica en escuelas y difusión de buenas prácticas de separación.,Fiscalización de 3ra categoría bajo el Ministerio de Ambiente PBA. Cuenta con Parque Industrial Las Flores (radicación de textiles,calzado,agropartes y alimentos). Las industrias de 1ra y 2da categoría son fiscalizadas localmente en habilitación comercial y normas de seguridad e higiene.,Planta Municipal de Tratamiento y Separación de Residuos Sólidos Urbanos operativa. Red de Puntos Limpios Barriales,entrega de equipamiento y bolsones de recolección diferenciada provistos por la provincia.,"Parque Plaza Montero y Laguna del Difunto Manuel (reserva natural recreativa y humedal de avifauna), invernáculo municipal para producción de especies nativas de forestación urbana.",Ordenanza de regulación de fitosanitarios y agroquímicos con recetas agronómicas digitales obligatorias; recambio progresivo de luminarias a tecnología LED y kit de gestión de riesgo climático.,https://lasflores.gob.ar/ ; https://www.ambiente.gba.gob.ar/,,,,,,
